관광숙박업 등록현황 (20.12.31기준),,,,,,,,,,,,,,
번호,"지역1
(시도)","지역2
(시군구)",업종,호텔명(등록명칭),"관광사업자명
(법인명 or 개인명)","영업상태
(19.12.31기준)",현행 호텔등급,,시설개요,,,객실수,주소(도로명주소),부대시설
,,,,,,,등급,등급부여일,층수(지하~지상),"대지면적
(㎡)","건축연면적
(㎡)",,,
1,강원,춘천시,관광호텔,춘천세종관광호텔,주식회사 세종,영업중,3성급,2020.03.17,지하1층~지상3층 ,"9,352 ","4,878 ",63 ,춘천시 봉의동 15-3,"식당, 연회장, 헬스장"
2,강원,춘천시,관광호텔,춘천베어스관광호텔,유한회사 화성에이에스엠,영업중,기간만료,,지하1층~지상5층 ,"8,985 ","8,680 ",78 ,춘천시 삼천동 300-3,"식당, 웨딩홀, 연회장"
3,강원,원주시,관광호텔,(주)호텔인터불고 원주,(주)호텔인터불고원주,영업중,신청중,,지하2층~지상8층 ,"26,215 ","26,378 ",152 ,원주시 동부순환로 200(반곡동),"대연회장, 중연회장, 헬스클럽, 수영장, 
사우나, 레스토랑, 유흥주점, 스카이라운지 등"
4,강원,원주시,관광호텔,베니키아문막호텔,주식회사 해평,휴업,3성급,2020.12.28,지하1층~지상9층 ,"1,256 ","4,119 ",66 ,원주시 문막읍 왕건로 9,"라이브바, 연회장"
5,강원,원주시,관광호텔,호텔비즈인,주식회사 청연,영업중,3성급,2020.12.28,지하1층~지상7층 ,976 ,"4,580 ",65 ,원주시 만대로 7-1 (무실동),"목욕장, 일반음식점"
6,강원,원주시,관광호텔,㈜오키드호텔,주식회사오키드호텔,영업중,3성급,2020.12.28,지하3층~지상10층 ,720 ,"6,523 ",85 ,원주시 봉화로 26(단계동),"카페,비즈니스센터,컨퍼런스룸,루프탑 수영장,연회장 등"
7,강원,원주시,관광호텔,시티호텔,주식회사 혁신시티호텔,영업중,3성급,2020.12.28,지하2층~지상9층 ,785 ,"5,487 ",49 ,원주시 건강로 4(반곡동),"레스토랑,세미나실"
8,강원,강릉시,관광호텔,씨마크호텔,"권오갑, 가삼현",영업중,5성급,2018.11.20,"지하4층, 지상15층 ","49,178 ","39,407 ",150 ,강릉시 해안로406번길 2(강문동),"수영장, 전시장, 야외공연장 등"
9,강원,강릉시,관광호텔,경포비치호텔,박상수,영업중,3성급,2018.11.07,"(지하1층, 지상5층) ","3,646 ","7,169 ",68 ,강릉시 해안로406번길 13-6(강문동),레스토랑 등
10,강원,강릉시,관광호텔,HONG C HOTEL Gangneung Station,홍종표,영업중,2성급,2017.07.31,지상8층,663 ,"1,250 ",30 ,강릉시 옥천로65번길 2-6(옥천동),"연회장, 휴게커피숍, 기프트샵 등"
11,강원,강릉시,관광호텔,강릉관광호텔,김운성,영업중,2성급,2017.10.12.,"(지하2층, 지상15층)",893 ,"5,441 ",74 ,강릉시 금성로 62,"휴게공간, 까페, 레스토랑 등"
12,강원,강릉시,관광호텔,Hotel Tops10,"김종민,
고용재",영업중,4성급,2019.09.20,"(지하1층, 지상15층)","43,490 ","49,194 ",333 ,강릉시 옥계면 헌화로 455-34,"금진온천 및 아쿠아파크, 노래방, 스크린골프, VR존, 일반음식점 등"
13,강원,강릉시,관광호텔,THE HONG C HOTEL Gangneung,홍종표,영업중,2성급,2018.11.08,"(지하1층, 지상10층)",663 ,"3,020 ",46 ,강릉시 교동광장로100번길 8(교동),"음식점, 세탁소 등"
14,강원,강릉시,관광호텔,호텔이스트나인,최혁진,영업중,2성급,2019.03.06,"(지하1층, 지상11층)",661 ,"3,546 ",54 ,강릉시 교동광장로100번길 8-6(교동),"음식점, 까페테리아 등"
15,강원,동해시,관광호텔,뉴동해관광호텔,박재두,영업중,기간만료,,지하1층~지상7층 ,"4,677 ","7,821 ",63 ,강원 동해시 평릉길 1,"레스토랑, 카페, 웨딩홀, 연회장, 편의점"
16,강원,동해시,관광호텔,이스턴관광호텔,김윤미,영업중,2성급,2019.08.21,지하1층~지상9층 ,"2,066 ","5,068 ",71 ,강원 동해시 한섬로 112-4,"커피숍, 예식장, 게임장, 유흥주점"
17,강원,동해시,관광호텔,㈜동해보양온천컨벤션호텔,정삼암,영업중,3성급,2019.07.12,지하1층~지상8층 ,"19,558 ","27,541 ",182 ,강원 동해시 동해대로 6285,"커피숍, 예식장, 게임장, 유흥주점"
18,강원,동해시,관광호텔,동해현진관광호텔,채창희,영업중,3성급,2018.05.03,지하1층~지상13층 ,"5,447 ","13,046 ",82 ,강원 동해시 동굴로 125-3,"레스토랑, 웨딩홀, 연회장"
19,강원,태백,관광호텔,카스텔로리젠시 태백관광호텔,한설경,영업중,3등급,2015.10.19, 지하1~지상10층 ,938 ,"4,333 ",72 ,강원도 태백시 연지로 6 (황지동),"커피숍, 레스토랑, 연회장, 게임장"
20,강원,태백,관광호텔,태백관광호텔(SORANO HOTEL),이명숙,영업중,,, 지상6층 ,"1,663 ","3,044 ",64 ,강원도 태백시 기장밭길 7-1 (화전동),"식당, 회의실, 세탁실, 비지니스룸, 족구장. 대회의실"
21,강원,속초시,관광호텔,(주)설악산관광호텔,설악산관광호텔,휴업,,,지하1~지상4,"9,664 ","3,020 ",43 ,강원도 속초시 설악산로 1042 (설악동),
22,강원,속초시,관광호텔,(주)이랜드파크 켄싱턴호텔 설악,주식회사 이랜드파크,영업중,4성급,2019.06.18,지하1~지상8,-,"11,580 ",108 ,강원도 속초시 설악산로 998 (설악동),"음식점, 카페, 연회장,  컨퍼런스룸, 기념품점 등"
23,강원,속초시,관광호텔,이스턴관광호텔,정영숙,영업중,2성급,2018.03.20.,지하1~지상6,"3,036 ","4,907 ",40 ,강원도 속초시 청초호반로 317 (중앙동),"웨딩홀, 연회장, 라운지"
24,강원,속초시,관광호텔,마레몬스관광호텔,주식회사 마레몬스,영업중,4성급,2019.07.04,지하2~ 지상11,"9,995 ","16,144 ",148 ,"강원도 속초시 동해대로 3705 (대포동,외 8필지)","라운지, 비즈니스룸, 사우나, 카페 등"
25,강원,속초시,관광호텔,베니키아 호텔 산과바다 대포항,동궁 주식회사,영업중,2성급,2019.05.23.,지하1~지상9,848 ,"3,734 ",63 ,강원도 속초시 동해대로 3691 (대포동),
26,강원,속초시,관광호텔,더클래스 300 멤버쉽,더클래스호텔 주식회사,영업중,3성급,2019.05.30.,지하3~지상15,"2,260 ","1,449 ",306 ,강원도 속초시 동해대로 3915 (조양동),
27,강원,속초시,관광호텔,롯데리조트 속초,주식회사 호텔롯데,영업중,4성급,2018.04.13.,지하3~지상9,"69,795 ","95,208 ",173 ,강원도 속초시 대포항길 186 (대포동),"음식점, 카페, 연회장, 웨딩홀 등"
28,강원,삼척시,관광호텔,쏠비치 호텔 삼척,최주영,영업중,4성급,2018.05.31,지하1층 ~ 지상 8층,"110,254 ","22,315 ",216 ,강원도 삼척시 수로부인길 453 (갈천동),"연회장(대,중,소), 한식당 등"
29,강원,홍천군,관광호텔,소노문 비발디파크,㈜소노호텔앤리조트,영업중,4성급,2019-06-10,지하1층 ~ 지상 10층,"5,839 ","8,047 ",79 ,강원도 홍천군 서면 한치골길 262,
30,강원,평창군,관광호텔,드래곤밸리리조트(용평리조트),㈜용평리조트,영업중,기간만료,,지하1층 ~ 지상9층,"33,923 ","24,402 ",195 ,강원도 평창군 대관령면 올림픽로 715,"로비라운지, 한식당, 양식당, 비즈니스센터 등"
