구역,지역,구분,2018,2019
강원도,춘천시,현지인(a),11010874,61312962
강원도,춘천시,외지인(b),26285707,29784122
강원도,춘천시,외국인(c),398404,729575
강원도,춘천시,외부방문자(b+c),26684111,30513697
강원도,춘천시,전년외부방문자(b'+c'),0,26684111
강원도,춘천시,외부방문자 전년대비증감률(%),0,14
강원도,원주시,현지인(a),12190202,68448793
강원도,원주시,외지인(b),29589903,30466306
강원도,원주시,외국인(c),117523,142118
강원도,원주시,외부방문자(b+c),29707426,30608425
강원도,원주시,전년외부방문자(b'+c'),0,29707426
강원도,원주시,외부방문자 전년대비증감률(%),0,3
강원도,강릉시,현지인(a),9167249,51030368
강원도,강릉시,외지인(b),31244031,32137920
강원도,강릉시,외국인(c),418154,161141
강원도,강릉시,외부방문자(b+c),31662185,32299061
강원도,강릉시,전년외부방문자(b'+c'),0,31662185
강원도,강릉시,외부방문자 전년대비증감률(%),0,2
강원도,동해시,현지인(a),3506979,19982291
강원도,동해시,외지인(b),10037318,10696844
강원도,동해시,외국인(c),73003,93348
강원도,동해시,외부방문자(b+c),10110320,10790192
강원도,동해시,전년외부방문자(b'+c'),0,10110320
강원도,동해시,외부방문자 전년대비증감률(%),0,7
강원도,태백시,현지인(a),2062218,11493895
강원도,태백시,외지인(b),5048050,5272134
강원도,태백시,외국인(c),10287,11570
강원도,태백시,외부방문자(b+c),5058337,5283704
강원도,태백시,전년외부방문자(b'+c'),0,5058337
강원도,태백시,외부방문자 전년대비증감률(%),0,4
강원도,속초시,현지인(a),3513146,20229216
강원도,속초시,외지인(b),20767198,21060193
강원도,속초시,외국인(c),202988,258692
강원도,속초시,외부방문자(b+c),20970185,21318885
강원도,속초시,전년외부방문자(b'+c'),0,20970185
강원도,속초시,외부방문자 전년대비증감률(%),0,2
강원도,삼척시,현지인(a),2569182,14081536
강원도,삼척시,외지인(b),11081392,11322878
강원도,삼척시,외국인(c),57478,67443
강원도,삼척시,외부방문자(b+c),11138870,11390321
강원도,삼척시,전년외부방문자(b'+c'),0,11138870
강원도,삼척시,외부방문자 전년대비증감률(%),0,2
강원도,홍천군,현지인(a),1771956,10373314
강원도,홍천군,외지인(b),15025465,15576054
강원도,홍천군,외국인(c),88916,147835
강원도,홍천군,외부방문자(b+c),15114381,15723889
강원도,홍천군,전년외부방문자(b'+c'),0,15114381
강원도,홍천군,외부방문자 전년대비증감률(%),0,4
강원도,횡성군,현지인(a),1115874,6612112
강원도,횡성군,외지인(b),14251114,13832812
강원도,횡성군,외국인(c),48734,54245
강원도,횡성군,외부방문자(b+c),14299849,13887057
강원도,횡성군,전년외부방문자(b'+c'),0,14299849
강원도,횡성군,외부방문자 전년대비증감률(%),0,-3
강원도,영월군,현지인(a),904484,5348066
강원도,영월군,외지인(b),6147978,6157910
강원도,영월군,외국인(c),17823,22381
강원도,영월군,외부방문자(b+c),6165800,6180292
강원도,영월군,전년외부방문자(b'+c'),0,6165800
강원도,영월군,외부방문자 전년대비증감률(%),0,0
강원도,평창군,현지인(a),1433348,8207745
강원도,평창군,외지인(b),14960620,14051832
강원도,평창군,외국인(c),472094,241967
강원도,평창군,외부방문자(b+c),15432714,14293799
강원도,평창군,전년외부방문자(b'+c'),0,15432714
강원도,평창군,외부방문자 전년대비증감률(%),0,-7
강원도,정선군,현지인(a),1282662,7415684
강원도,정선군,외지인(b),9008307,8981256
강원도,정선군,외국인(c),59262,50090
강원도,정선군,외부방문자(b+c),9067569,9031346
강원도,정선군,전년외부방문자(b'+c'),0,9067569
강원도,정선군,외부방문자 전년대비증감률(%),0,0
강원도,철원군,현지인(a),1262790,7615794
강원도,철원군,외지인(b),5299042,6377332
강원도,철원군,외국인(c),11461,16605
강원도,철원군,외부방문자(b+c),5310503,6393938
강원도,철원군,전년외부방문자(b'+c'),0,5310503
강원도,철원군,외부방문자 전년대비증감률(%),0,20
강원도,화천군,현지인(a),640972,4398065
강원도,화천군,외지인(b),3787900,4861115
강원도,화천군,외국인(c),11867,26437
강원도,화천군,외부방문자(b+c),3799766,4887552
강원도,화천군,전년외부방문자(b'+c'),0,3799766
강원도,화천군,외부방문자 전년대비증감률(%),0,29
강원도,양구군,현지인(a),774042,4812248
강원도,양구군,외지인(b),2740426,3338486
강원도,양구군,외국인(c),8577,11294
강원도,양구군,외부방문자(b+c),2749003,3349779
강원도,양구군,전년외부방문자(b'+c'),0,2749003
강원도,양구군,외부방문자 전년대비증감률(%),0,22
강원도,인제군,현지인(a),956998,5913523
강원도,인제군,외지인(b),8723666,9502668
강원도,인제군,외국인(c),27052,29348
강원도,인제군,외부방문자(b+c),8750718,9532016
강원도,인제군,전년외부방문자(b'+c'),0,8750718
강원도,인제군,외부방문자 전년대비증감률(%),0,9
강원도,고성군,현지인(a),941216,5735212
강원도,고성군,외지인(b),9821074,10441067
강원도,고성군,외국인(c),81713,109857
강원도,고성군,외부방문자(b+c),9902786,10550924
강원도,고성군,전년외부방문자(b'+c'),0,9902786
강원도,고성군,외부방문자 전년대비증감률(%),0,7
강원도,양양군,현지인(a),1213646,7227528
강원도,양양군,외지인(b),13226216,13805488
강원도,양양군,외국인(c),50332,51820
강원도,양양군,외부방문자(b+c),13276548,13857308
강원도,양양군,전년외부방문자(b'+c'),0,13276548
강원도,양양군,외부방문자 전년대비증감률(%),0,4
경기도,수원시 장안구,현지인(a),7666284,42998781
경기도,수원시 장안구,외지인(b),33827014,35328668
경기도,수원시 장안구,외국인(c),94817,137018
경기도,수원시 장안구,외부방문자(b+c),33921831,35465685
경기도,수원시 장안구,전년외부방문자(b'+c'),0,33921831
경기도,수원시 장안구,외부방문자 전년대비증감률(%),0,5
경기도,수원시 권선구,현지인(a),7627602,42947765
경기도,수원시 권선구,외지인(b),41565146,41257811
경기도,수원시 권선구,외국인(c),163288,193665
경기도,수원시 권선구,외부방문자(b+c),41728434,41451476
경기도,수원시 권선구,전년외부방문자(b'+c'),0,41728434
경기도,수원시 권선구,외부방문자 전년대비증감률(%),0,-1
경기도,수원시 팔달구,현지인(a),5749576,31565468
경기도,수원시 팔달구,외지인(b),63558366,63117096
경기도,수원시 팔달구,외국인(c),481199,644080
경기도,수원시 팔달구,외부방문자(b+c),64039565,63761176
경기도,수원시 팔달구,전년외부방문자(b'+c'),0,64039565
경기도,수원시 팔달구,외부방문자 전년대비증감률(%),0,0
경기도,수원시 영통구,현지인(a),9303371,56139468
경기도,수원시 영통구,외지인(b),49633682,56314041
경기도,수원시 영통구,외국인(c),249676,299544
경기도,수원시 영통구,외부방문자(b+c),49883358,56613585
경기도,수원시 영통구,전년외부방문자(b'+c'),0,49883358
경기도,수원시 영통구,외부방문자 전년대비증감률(%),0,13
경기도,성남시 수정구,현지인(a),5367663,31342010
경기도,성남시 수정구,외지인(b),36418984,38073658
경기도,성남시 수정구,외국인(c),125760,153325
경기도,성남시 수정구,외부방문자(b+c),36544744,38226983
경기도,성남시 수정구,전년외부방문자(b'+c'),0,36544744
경기도,성남시 수정구,외부방문자 전년대비증감률(%),0,5
경기도,성남시 중원구,현지인(a),5624770,30502402
경기도,성남시 중원구,외지인(b),27775958,28926510
경기도,성남시 중원구,외국인(c),57568,70781
경기도,성남시 중원구,외부방문자(b+c),27833526,28997291
경기도,성남시 중원구,전년외부방문자(b'+c'),0,27833526
경기도,성남시 중원구,외부방문자 전년대비증감률(%),0,4
경기도,성남시 분당구,현지인(a),19826244,111480656
경기도,성남시 분당구,외지인(b),87522390,91028490
경기도,성남시 분당구,외국인(c),375353,418426
경기도,성남시 분당구,외부방문자(b+c),87897742,91446916
경기도,성남시 분당구,전년외부방문자(b'+c'),0,87897742
경기도,성남시 분당구,외부방문자 전년대비증감률(%),0,4
경기도,의정부시,현지인(a),12972746,75631710
경기도,의정부시,외지인(b),42029460,42947376
경기도,의정부시,외국인(c),94162,124495
경기도,의정부시,외부방문자(b+c),42123621,43071872
경기도,의정부시,전년외부방문자(b'+c'),0,42123621
경기도,의정부시,외부방문자 전년대비증감률(%),0,2
경기도,안양시 만안구,현지인(a),6263362,35407043
경기도,안양시 만안구,외지인(b),36302322,36158794
경기도,안양시 만안구,외국인(c),107651,169445
경기도,안양시 만안구,외부방문자(b+c),36409973,36328239
경기도,안양시 만안구,전년외부방문자(b'+c'),0,36409973
경기도,안양시 만안구,외부방문자 전년대비증감률(%),0,0
경기도,안양시 동안구,현지인(a),9497708,51703610
