번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치유형,화장실입구CCTV설치유무,기저귀교환대장소,리모델링연월,데이터기준일자
1,공중화장실,서울남대문경찰서,서울특별시 중구 한강대로 410,남대문로5가 567,N,3,4,0,0,0,0,0,0,0,서울남대문경찰서,02-778-0112,정시,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
2,공중화장실,충무로119안전센터,서울특별시 중구 충무로11,충무로3가 40-6,N,1,1,0,0,0,0,1,0,0,충무로119안전센터,02-2265-0119,00:00~24:00,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
3,공중화장실,회현119안전센터,서울특별시 중구 소공로 30,회현동2가 33-1,N,2,2,0,0,0,0,2,0,0,회현119안전센터,02-775-0119,00:00~24:00,,,,공공기관,공공용시설,수세식,없음,N,없음,,2021-05-13
4,공중화장실,서울중구청,서울특별시 중구 창경궁로 17,예관동 120-1,N,39,56,3,0,0,0,39,3,0,중구청 행정지원과,02-3396-4505,09:00~18:00,,,,지방자치단체,공공용시설,수세식,여자화장실,Y,여자화장실,,2021-05-13
5,공중화장실,광희동주민센터,서울특별시 중구 퇴계로 303-9,광희동1가 252,N,2,3,0,0,0,0,2,0,0,광희동주민센터,02-3396-6655,09:00~18:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
6,공중화장실,다산동주민센터,서울특별시 중구 동호로15길 50,신당동 432-24,N,5,5,1,0,0,0,5,1,0,다산동주민센터,02-3396-6743,09:00~21:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,여자화장실,,2021-05-13
7,공중화장실,동화동주민센터,서울특별시 중구 다산로36길 100,신당동 850,N,3,6,0,0,0,0,6,0,0,동화동주민센터,02-3396-6860,09:00~21:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
8,공중화장실,명동주민센터,서울특별시 중구 퇴계로 20길 3,남산동2가 9-6,N,1,2,0,0,0,0,1,0,0,명동주민센터,02-3396-6565,09:00~18:00,,,,지방자치단체,공공용시설,수세식,여자화장실,Y,없음,,2021-05-13
9,공중화장실,소공동주민센터,서울특별시 중구 남대문로1길 31-5,북창동 20-5,N,3,2,0,0,0,0,5,0,0,소공동주민센터,02-3396-6502,09:00~18:00,,,,지방자치단체,공공용시설,수세식,,Y,여자화장실,,2021-05-13
10,공중화장실,신당5동주민센터,서울특별시 중구 다산로44길 85,신당동 150-7,N,1,2,0,0,0,0,2,0,0,신당5동주민센터,02-3396-6830,09:00~18:00,,,,지방자치단체,공공용시설,수세식,없음,N,,,2021-05-13
11,공중화장실,신당동주민센터,서울특별시 중구 청구로8길 22,신당동 304-734,N,1,2,0,0,0,0,2,0,0,신당동주민센터,02-3396-6727,09:00~18:00,,,,지방자치단체,공공용시설,수세식,없음,N,없음,,2021-05-13
12,공중화장실,약수동주민센터,서울특별시 중구 다산로 92,약수동 366-15,N,4,4,0,0,0,0,4,1,0,약수동주민센터,02-3396-6770,09:00~18:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,여자화장실,,2021-05-13
13,공중화장실,을지로동주민센터,서울특별시 중구 충무로9길 19,을지로3가 65-13,N,2,2,0,0,0,0,2,0,0,을지로동주민센터,02-3396-6680,08:00~21:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
14,공중화장실,장충동주민센터,서울특별시 중구 장충단로8길 22,장충동1가 37-14,N,5,6,0,0,0,0,4,0,0,장충동주민센터,02-3396-8502,09:00~18:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
15,공중화장실,중림동주민센터,서울특별시 중구 만리재로 175,만리동2가,N,8,5,1,0,0,0,8,1,0,중림동주민센터,02-3396-6920,09:00~21:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,여자화장실,,2021-05-13
16,공중화장실,청구동주민센터,서울특별시 중구 청구로3길 55,청구동 333-17,N,2,1,0,0,0,0,4,0,0,청구동주민센터,02-3396-6803,09:00~18:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
17,공중화장실,필동주민센터,서울특별시 중구 퇴계로36길 42,필동2가 78-2,N,2,4,0,0,0,0,3,0,0,필동주민센터,02-3396-6590,09:00~18:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,여자화장실,,2021-05-13
18,공중화장실,중구의회,서울특별시 중구 을지로39길 40,을지로6가 18-14,N,2,2,0,0,0,0,2,0,0,의회사무과,02-3396-8155,09:00~18:00,,,,지방자치단체,공공용시설,수세식,없음,Y,없음,,2021-05-13
19,공중화장실,중구보건소,서울특별시 중구 다산로 39길 16,무학동 50-5,N,2,2,0,0,0,0,2,0,0,중구보건소,02-3396-6322,09:00~18:00,,,,지방자치단체,공공용시설,수세식,장애인화장실,N,없음,,2021-05-13
20,공중화장실,다동소공원,서울특별시 중구 다동길 15,다동 51-14,N,2,3,1,0,0,0,3,1,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,,,2021-05-13
21,공중화장실,다산어린이공원,생성필요,신당동 123-1,N,1,2,1,0,0,0,2,1,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
22,공중화장실,묵정어린이공원,서울특별시 중구 퇴계로45길 32-12,충무로5가 21,N,2,3,0,0,0,0,2,0,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
23,공중화장실,새싹마을마당,서울특별시 중구 동호로12길 97,신당동 386-66,N,1,1,1,0,0,0,2,1,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
24,공중화장실,응봉근린공원(관리실 옆),생성필요,신당동 산 36,N,2,3,0,0,0,0,2,0,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
25,공중화장실,응봉근린공원(동산초교위),생성필요,신당동 산 36,N,2,3,1,0,0,0,5,1,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
26,공중화장실,서소문역사공원,서울특별시 중구 칠패로 5,의주로2가 16-2,N,2,2,1,0,0,0,7,1,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
27,공중화장실,정동근린공원,서울특별시 중구 정동길 21-18,정동 15-1,N,2,2,0,0,0,0,3,0,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
28,공중화장실,청구어린이공원,생성필요,신당동 842-1,N,2,1,1,0,0,0,2,1,0,중구청 공원녹지과,02-3396-5855,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
29,공중화장실,충정녹지대,생성필요,중림동 1046,N,2,3,1,0,0,0,2,1,0,중구청 공원녹지과,02-3396-5872,00:00~24:00,,,,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2021-05-13
