관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,데이터기준일자,,
한려수도조망케이블카,관광지,경상남도 통영시 발개로 205,경상남도 통영시 도남동 349-1,34.82665041,128.4251243,34106,화장실+카페+음식점+휴게공간,,,,,,2008-04-18,10000,206,2020-12-07,,
한산도 제승당,관광지,경상남도 통영시 한산면 한산일주로 70,경상남도 통영시 한산면 두억리 산39,34.79264032,128.4759648,524625,화장실+휴게소,,,,,,1976-01-01,1600,0,2020-12-07,,
통영루지,관광지,경상남도 통영시 발개로 178,경상남도 통영시 도남동 319-3,34.82440908,128.4241617,164000,화장실,,,,,,2017-02-09,2500,350,2020-12-07,,
박경리기념관,관광지,경상남도 통영시 산양읍 산양중앙로 173,경상남도 통영시 산양읍 신전리 1429-9,34.802301,128.4035792,4465,화장실,,,,세미나실+회의실,,2010-05-05,400,23,2020-12-07,,
해저터널,관광지,,경상남도 통영시 당동 1-3,34.83609021,128.4117029,2415,관광안내소,,,,,,2005-09-14,200,0,2020-12-07,,
장사도해상공원,관광지,경상남도 통영시 한산면 장사도길 55,경상남도 통영시 한산면 매죽리 산4-1,34.71373747,128.5588706,390131,화장실+카페+음식점+휴게공간,,,공원,,,2012-01-01,2500,0,2020-12-07,,
통영시립박물관,관광지,경상남도 통영시 중앙로 65,경상남도 통영시 도천동 28,34.84075153,128.4167887,4989,화장실+카페+음식점+휴게공간,,,전시실,세미나실+영화관람실,,2013-08-23,500,32,2020-12-07,,
삼도수군통제영,관광지,경상남도 통영시 세병로 27,경상남도 통영시 문화동 62,34.84715495,128.423489,46683,화장실,,,,,,1998-02-20,800,140,2020-12-07,,
당동공원,근린공원,경상남도 통영시 통영터널로 15-28 (당동),경상남도 통영시 당동 321,34.83704069,128.4061134,299325,,,,,,,,,,,,
원문공원,근린공원,,경상남도 통영시 용남면 장문리 995,34.82806041,128.3947066,951817,,,,,,,,,,,,
문화공원,근린공원,,경상남도 통영시 서호동 9,34.8444535,128.4203065,25633,,,,,,,,,,,,
망일공원,근린공원,경상남도 통영시 멘데해안길 205 (정량동),경상남도 통영시 정량동 683,34.84428513,128.4422951,967000,,,,,,,,,,,,
미륵공원,근린공원,경상남도 통영시 발개로 205,경상남도 통영시 도남동 349-1,34.82665041,128.4251243,1691320,,,,,,,,,,,,
안정근린공원,근린공원,,경상남도 통영시 광도면 안정리 2051,34.95141203,128.4127051,46199,,,,,,,,,,,,
죽림공원,근린공원,,경상남도 통영시 광도면 죽림리 400-26,34.87914988,128.4129137,1520,,,,,,,,,,,,
황리1공원,근린공원,,경상남도 통영시 광도면 황리 1253-1,34.95636027,128.4078272,13980,,,,,,,,,,,,
공원1,근린공원,,경상남도 통영시 광도면 덕포리 산6,34.93092712,128.4345187,27176,,,,,,,,,,,,
남망산공원,문화공원,경상남도 통영시 남망공원길 29(동호동),경상남도 통영시 동호동 230-1,34.84232391,128.4286276,152500,,,,,,,,,,,,
미월문화공원,문화공원,,경상남도 통영시 무전동 23,34.8580239,128.439766,48351,,,,,,,,,,,,
도천테마파크,문화공원,,경상남도 통영시 도천동 148,34.83842732,128.4136274,7169,,,,,,,,,,,,
주전골1공원,소공원,,경상남도 통영시 북신동 197-5,34.84927165,128.4268376,109,,,,,,,,,,,,
주전골2공원,소공원,,경상남도 통영시 태평동 27,34.8482073,128.427007,252,,,,,,,,,,,,
주전골3공원,소공원,,경상남도 통영시 태평동 87-2,34.84938186,128.4262586,234,,,,,,,,,,,,
충열소공원,소공원,경상남도 통영시 충렬로 49 (명정동),경상남도 통영시 명정동 194,34.84582522,128.4172736,815,,,,,,,,,,,,
공원1,소공원,,경상남도 통영시 광도면 안정리 산302,34.9393668,128.4238023,3134,,,,,,,,,,,,
공원2,소공원,경상남도 통영시 광도면 예포길 65-11,경상남도 통영시 광도면 안정리 산291-2,34.93714674,128.427064,2583,,,,,,,,,,,,
공원2,소공원,,경상남도 통영시 광도면 덕포리 25-2,34.92663382,128.4275675,2730,,,,,,,,,,,,
안정 1공원,소공원,,경상남도 통영시 광도면 안정리 1326,34.94683143,128.4079222,564,,,,,,,,,,,,
안정 2공원,소공원,,경상남도 통영시 광도면 안정리 1330-4,34.94616494,128.4077437,882,,,,,,,,,,,,
법송 제1공원,소공원,,경상남도 통영시 도산면 법송리 1152-6,34.89918226,128.364695,2500,,,,,,,,,,,,
법송 제2공원,소공원,,경상남도 통영시 도산면 법송리 706-17,34.8994444,128.3674426,2480,,,,,,,,,,,,
법송 제3공원,소공원,,경상남도 통영시 도산면 관덕리 산249-4,34.89832069,128.3752391,1850,,,,,,,,,,,,
용남 1공원,소공원,경상남도 통영시 용남면 화포2길 86,경상남도 통영시 용남면 화삼리 762-3,34.85910865,128.4438949,1303,,,,,,,,,,,,
용남 2공원,소공원,,경상남도 통영시 용남면 동달리 1438,34.87152899,128.444454,628,,,,,,,,,,,,
